bnumber,heat_shock,IPTG,anaerobic,NaCL,log_phase
B0155,-1.238925,0.0,0.193286,0.335979,0.0
B0156,0.178037,0.063388,-0.71662,0.405287,0.0
B0158,0.0,0.011513,-0.225037,-0.291133,0.0
B0160,1.04501,0.581456,0.300928,0.283619,0.0
B0161,-2.042628,-0.422497,-0.159585,1.219516,-0.6819229999999999
B0162,1.54441,-0.10272,0.0,-0.826471,0.0
B0163,0.0,-0.177241,0.0,-0.312914,2.062226
B0166,-1.991357,0.0,-0.28867,-0.431327,-2.725044
B0167,-2.280859,-0.003988,-0.156475,-0.517099,-2.276143
B0168,-1.42249,0.339754,-0.248601,-0.505816,-2.665171
B0169,0.859895,-0.393768,0.242545,-1.508147,-3.718994
B0170,1.036935,-0.546902,-0.190104,-1.743427,-2.950298
B0171,0.171859,0.380073,-0.503099,-1.929251,-1.907427
B0172,-0.299179,0.0,-0.196733,-3.443639,-1.493943
B0173,-2.341823,-0.558851,0.086577,-0.500184,-1.445533
B0174,-3.020687,-0.015465,-0.566553,0.024579,-1.59775
B0175,-2.296479,0.704476,-0.193044,0.421954,-0.7107059999999999
B0176,-1.416461,-0.804583,-0.051308,0.896585,-1.812141
B0177,-2.11921,0.373355,-0.523383,0.731818,0.494613
B0178,-1.662518,-0.75207,-0.376572,-0.416408,-2.397287
B0179,-4.215187,-0.111042,-0.315439,-0.070121,-3.083956
B0180,-1.068292,0.547611,0.342892,0.120189,-2.444819
B0181,-0.904497,-0.074115,-0.10358,0.997368,-2.433352
B0182,0.521349,-0.615308,0.414695,1.16669,-1.00893
B0183,0.668655,-0.09930799999999999,0.251916,0.996551,0.0
B0184,0.114007,-0.410398,0.389984,0.698643,-1.925445
B0185,-3.750375,0.245167,-0.17476,-0.847509,-2.421068
B0186,0.0,0.663538,0.361286,0.318979,0.0
B0188,-1.574517,0.0,0.010871,0.369497,-1.10059
B0190,-1.489329,0.0,0.428744,-0.667552,0.0
B0191,-1.193396,0.0,0.790454,0.431798,0.0
B0192,-1.118673,0.0,-0.02125,1.202365,0.0
B0194,-3.680557,0.06555,-0.118991,-1.935644,-1.985015
B0196,-2.406895,0.0,-0.369136,-0.890273,-1.474494
B0197,-3.101223,-0.270247,0.134265,-0.7954909999999999,0.788376
B0198,-1.284161,-1.002771,0.434997,-0.302516,0.0
B0199,-1.776405,-0.252814,0.364482,0.848942,1.529243
B0200,-2.651123,0.137289,-0.224983,-0.223359,0.319302
B0209,2.191729,0.008874,-0.729947,0.350034,-0.893633
B0210,3.073236,0.0,0.0,0.487059,-0.681266
B0211,0.842831,0.0,1.404225,0.842412,-1.070371
B0212,-1.457016,0.0,0.238309,-0.532326,-0.604795
B0214,0.0,0.204536,0.034717,-0.360855,-0.489105
B0215,-1.899589,0.0,-0.56295,-2.304289,0.0
B0220,0.777931,0.275338,-0.284179,3.836673,-0.035525
B0222,-1.84229,0.07882400000000001,-0.191256,-0.812228,-0.990421
B0223,-2.386109,0.081733,-0.530944,-0.63387,-2.311023
B0224,-3.926785,0.033787,-0.402573,-1.669953,-1.357034
B0225,0.0,-0.138525,0.0,0.701335,-0.994372
B0226,-1.01606,0.0,0.496703,0.379498,-0.527361
B0231,0.605593,-0.6178090000000001,0.025748,0.155337,0.0
B0237,-4.84496,0.234078,0.232653,-1.326211,-3.273533
B0238,-2.107451,-0.032777,0.7553,-1.682663,-1.941724
B0239,-2.783035,-0.558794,-0.021547,-0.664065,-2.027162
B0240,-1.881533,0.147619,-2.712036,-0.349189,-1.953312
B0242,-0.932839,-0.237348,0.291381,-0.243674,-2.858696
B0243,-0.907274,-0.006581,-0.047679,-0.172376,-2.241221
B0248,0.0,0.0,0.291465,0.029583,0.0
B0250,0.5708490000000001,-0.939572,-0.221406,0.125856,0.0
B0256,-1.593721,0.3886,0.374377,-0.111229,-0.882043
B0258,0.076006,0.0,-0.14913,-0.367951,0.0
B0259,0.123975,-0.122799,0.441322,-0.652409,-0.397196
B0261,0.0,-0.45917,-0.284964,-0.244286,2.359726
B0264,0.505611,0.0,-0.156537,-0.5007779999999999,-1.098777
B0265,-1.505454,0.403486,0.071816,0.346751,-0.565941
B0272,0.635567,-0.009813000000000001,-0.263991,0.333738,-1.769457
B0273,-1.40639,0.0,-1.289325,1.836836,-0.816705
B0274,0.283383,-0.050273,-0.038034,-0.761877,-1.707735
B0275,-1.483115,0.0,0.160409,0.306741,0.0
B0278,0.0,0.0,0.0,0.208495,0.0
B0280,-2.72346,0.166845,-0.116612,1.348862,0.0
