bnumber,heat_shock,IPTG,anaerobic,NaCL,log_phase
B0781,-2.469883,0.992552,-0.078196,1.182595,-1.702967
B0782,1.076031,1.460052,-0.992557,1.706568,-1.483556
B0783,0.958215,1.199472,-0.797485,0.978542,-1.401339
B0784,1.431231,-0.160492,-0.478209,2.594039,-0.684344
B0785,1.182807,0.099746,-0.205316,0.464236,-2.055488
B0786,-2.502621,0.0,0.527891,-0.419013,0.0
B0794,-1.498836,-0.154902,0.009348,3.635393,1.112139
B0795,-1.742793,0.0,0.0,3.668652,0.0
B0797,-2.589278,-0.187499,0.938785,0.075428,-1.367848
B0799,0.713503,0.02231,0.288706,0.586082,-1.461145
B0801,-2.013409,0.110399,-1.441103,1.166229,-2.633578
B0805,0.0,-0.25048,0.453792,0.799625,-4.035363
B0807,0.980376,0.645374,0.172733,0.121419,-0.765462
B0808,-1.978158,-0.06832199999999999,0.24429,0.747007,0.0
B0809,-0.5136039999999999,-0.375058,-1.062973,0.027726,-2.407213
B0810,1.124059,0.0,-1.618166,0.414849,-0.756244
B0811,1.430326,0.35281,-0.981024,0.365716,-0.366677
B0812,1.425026,0.187027,0.02588,2.034509,1.574004
B0814,-0.545323,0.482154,1.096015,-0.493448,-3.498249
B0820,-3.788569,0.021455,-0.04138,0.210288,-1.745896
B0823,1.637984,0.0,0.32726,0.420871,0.0
B0826,-1.981892,0.129843,0.0,-0.07091699999999999,0.0
B0827,-3.03644,-0.247982,0.266444,-0.510825,-1.148714
B0828,-2.361238,0.065842,-0.330876,-0.104483,-3.202269
B0829,-2.665968,-0.230863,-0.765468,-0.115418,-2.766319
B0830,-2.240343,0.047294,-0.416609,-0.156903,-2.20079
B0831,0.206112,0.025566,-0.822782,-0.352654,-0.517892
B0832,-1.3513,0.0,-0.004968,0.258591,0.0
B0835,-1.566854,0.0,0.095733,-1.835144,-0.527361
B0836,1.135402,-0.690308,1.231826,0.386978,1.483695
B0837,0.0,-0.116161,0.600179,-0.081982,0.0
B0838,-2.666812,0.221998,-0.623058,-0.776104,-1.193586
B0839,-2.272292,0.266521,-0.391161,0.788317,-1.043282
B0840,-2.187529,0.284831,-0.185298,1.138968,-2.35423
B0844,0.622173,-0.173572,0.282617,1.884238,-0.504255
B0845,-0.23157,0.012711,-0.5763779999999999,1.175784,0.546892
B0846,0.0,0.386653,0.0,2.814957,0.0
B0847,-1.606969,-0.208617,-0.456034,0.496029,-1.181642
B0848,-1.623142,-0.715813,0.672726,-0.048881,0.0
B0850,0.0,1.083868,0.454483,1.249594,0.0
B0851,-0.164756,-0.037416,-0.200893,1.97555,-1.443391
B0853,-2.537865,-0.13795,-0.087755,-0.055105,-0.8280999999999999
B0854,0.0,0.368367,-3.090653,0.146913,-1.163538
B0857,2.429491,0.0,0.0,0.579829,0.0
B0860,-1.371107,0.0,-0.440964,0.0,-0.122386
B0861,0.752028,0.0,0.0,0.703982,-0.268098
B0863,-1.648563,0.0,0.672591,2.298225,-0.832472
B0864,-2.065521,0.0,0.910861,0.390465,-1.147838
B0866,-2.027928,0.0,0.186442,0.0,0.0
B0867,-2.59638,0.07228,0.262736,0.500468,-0.647601
B0868,-1.783035,0.331245,0.024494,-0.097124,-0.969777
B0869,-3.081744,0.085775,0.055361,0.177298,-1.367516
B0870,-2.892033,-0.051736,-0.267094,-0.399693,-1.338179
B0872,1.26487,0.0,0.0,0.321262,0.0
B0873,-0.853646,0.044975,0.423539,-0.404099,0.0
B0876,-1.967584,-0.136144,-0.361043,0.411813,1.569797
B0877,-0.625251,0.459711,0.269104,-0.270371,-1.117706
B0878,-1.497888,0.155044,-0.584739,0.996572,-0.821518
B0879,3.044355,0.322887,0.038477,1.259515,-0.759735
B0880,3.071576,0.457192,-0.175149,0.973262,3.825789
B0881,2.145909,0.5602009999999999,-0.51718,1.207757,0.017669
B0882,1.856039,0.374911,-0.902551,0.386027,0.933833
B0884,0.04592,0.0,0.015241,-3.23803,-2.352328
B0885,-0.959344,-0.15919,-0.537695,-0.007726,-1.011824
B0886,-2.330686,0.00147,-0.355508,0.479269,-1.603517
B0887,-2.434652,-0.171961,-0.199227,0.287293,-1.971265
B0888,-0.242008,-1.28771,-0.903979,-1.247839,-3.199099
B0891,-1.097303,0.199534,0.034605,1.679165,-1.989486
B0892,-1.350261,-0.110949,-0.340937,1.857374,-2.591638
B0893,-2.4068,-0.532776,0.157289,-0.667944,-1.535091
B0894,-4.623197,-1.063212,4.251244,-1.241984,-1.26729
B0895,-0.223599,-1.05112,2.422995,0.6225850000000001,-0.492363
B0896,-2.768174,-1.340237,1.777743,-0.09932199999999999,0.0
B0902,-1.256509,-0.621864,0.121656,-0.293664,-1.322724
B0903,-0.593243,-0.470221,1.329718,-0.01338,-1.503746
B0904,-0.918764,0.045317,3.363957,0.8173,-3.812694
B0905,-0.975308,-0.218207,0.117542,-1.59045,-0.689173
B0907,-5.09892,0.344199,-1.171491,-0.246051,-4.477986
B0908,-2.198513,0.307999,-0.718732,0.373283,-3.438918
B0910,-1.112061,0.8691489999999999,-0.316415,-0.021458,-1.18848
B0911,0.645428,0.369249,0.232791,-0.286574,-4.099797
B0912,-0.7471410000000001,0.31801,0.439098,-0.569877,0.544301
B0913,0.0,0.437433,0.038191,0.139989,0.0
B0914,-1.57006,0.0,0.530859,0.791009,-1.61747
B0915,1.328601,0.0,0.609659,0.631239,0.0
B0917,-1.370071,0.0,-0.06447,-0.944775,0.0
B0918,-2.322947,0.0,-0.260756,-1.094564,-1.564628
B0919,-2.745191,-1.714139,1.153807,-0.460939,-1.364832
B0920,-0.275902,-0.786294,0.0,-0.980824,0.0
B0921,-0.41766,-0.203851,0.483264,0.173201,-1.20459
B0922,-3.03219,-0.30997,0.034436,-0.217175,-1.392484
B0923,-2.438609,0.0,0.223626,0.061239,-0.656878
B0924,0.012797,0.13338,0.109557,0.133331,-1.118602
B0925,-2.768174,-0.320498,0.021256,0.756692,-0.662411
B0926,-3.5278,0.072939,-0.284205,-0.030464,0.166512
B0927,-2.333346,-0.353254,-0.525173,-0.487596,-0.33304
B0928,-1.232355,0.125275,-0.800689,-1.56943,-1.5474
B0929,1.377687,0.141784,0.336318,-1.409341,-0.886522
B0930,-0.531722,0.436719,0.093989,0.289326,-2.44874
B0931,-2.067317,0.36156,-0.672426,0.717269,-3.262032
B0932,-1.776626,0.543228,-0.806443,-0.073169,-0.024503
B0935,0.542199,0.036152,-0.5726290000000001,0.335364,0.0
B0945,-1.348148,0.341614,0.292276,-2.530861,-2.003609
B0946,-2.097473,0.37592,0.509135,0.378283,0.0
B0947,-3.509692,-0.162055,0.114567,-0.778492,-1.276945
B0948,-0.642184,0.03343,0.404234,-0.487254,-1.074785
B0949,-2.723257,-0.869126,0.144593,-1.064872,-1.222189
B0950,0.0,0.0,0.0,-0.300297,0.0
B0951,-1.340237,0.013478,-0.037467,-0.443136,0.0
B0953,1.905891,0.0,-1.568125,2.661622,2.164549
B0954,-0.671526,-0.501305,1.124398,0.45907,-1.645739
B0955,-3.047009,-1.278828,0.156598,-0.969481,-1.810479
B0957,1.531531,0.051373,1.108212,-0.146715,-2.200471
B0958,-1.663434,0.0,-0.676831,-0.435207,0.0
B0959,1.339949,0.0,-0.182066,0.0,0.0
B0960,-1.200127,-0.146071,-0.472534,0.437549,-0.628873
B0962,0.300658,-0.640474,0.250996,0.268322,-1.854135
B0963,-3.609494,-0.717819,0.038921,-1.229272,0.569751
B0965,-1.816874,0.102053,-0.62432,-0.022521,-1.418889
B0966,5.37674,0.0,0.368338,0.329391,1.659209
B0967,-2.482397,-0.164312,-0.224741,-0.718621,-1.654408
B0969,-1.143355,0.0,0.060548,1.157056,-0.903797
B0970,-2.495439,0.114124,-1.788349,0.519269,-2.405747
B0972,-1.571367,0.0,3.738705,-0.520898,0.0
B0973,-1.251352,0.0,3.413987,-0.408986,1.208077
B0978,-0.109473,-0.307008,0.838384,0.017907,1.481999
B0979,0.363938,0.0,0.589435,0.02864,0.0
B0981,0.0,-1.173572,0.119328,0.184461,0.0
